state,county,bbox
ID,"Clark County, ID","[-112.9983699, 43.971941, -111.6171362, 44.571678]"
ID,"Clearwater County, ID","[-116.456136, 46.2654335, -114.594634, 46.934669]"
ID,"Custer County, ID","[-115.3050757, 43.569157, -113.320362, 44.879077]"
ID,"Elmore County, ID","[-116.267904, 42.767657, -114.971351, 44.098685]"
ID,"Franklin County, ID","[-112.126194, 41.997794, -111.507753, 42.430635]"
ID,"Fremont County, ID","[-112.15637, 43.883206, -111.047157, 44.754954]"
ID,"Gem County, ID","[-116.7127757, 43.807096, -116.1522709, 44.510813]"
ID,"Gooding County, ID","[-115.086902, 42.649298, -114.594212, 43.198567]"
ID,"Idaho County, ID","[-116.7944488, 45.107642, -114.320303, 46.671142]"
ID,"Jefferson County, ID","[-112.697122, 43.62314, -111.625938, 44.059368]"
ID,"Jerome County, ID","[-114.617401, 42.494906, -113.931687, 42.8511207]"
ID,"Kootenai County, ID","[-117.042657, 47.3660605, -116.322395, 47.9915469]"
ID,"Latah County, ID","[-117.039882, 46.541709, -116.329436, 47.130821]"
ID,"Lemhi County, ID","[-114.820199, 44.229866, -112.812462, 45.705977]"
ID,"Lewis County, ID","[-116.713824, 45.99131, -116.0123807, 46.469357]"
ID,"Lincoln County, ID","[-114.5948, 42.764206, -113.713953, 43.200213]"
ID,"Madison County, ID","[-111.983527, 43.621976, -111.398624, 43.930137]"
ID,"Minidoka County, ID","[-113.932063, 42.518563, -113.413106, 43.199859]"
ID,"Nez Perce County, ID","[-117.062785, 45.8552381, -116.360239, 46.631245]"
ID,"Oneida County, ID","[-113.000081, 41.997244, -112.070266, 42.503055]"
ID,"Owyhee County, ID","[-117.027001, 41.9978139, -115.035896, 43.6811373]"
ID,"Payette County, ID","[-116.9826555, 43.792583, -116.452068, 44.1551786]"
ID,"Power County, ID","[-113.243781, 42.327384, -112.379641, 43.110946]"
ID,"Shoshone County, ID","[-116.3299725, 46.932857, -114.958793, 48.0677235]"
ID,"Teton County, ID","[-111.400954, 43.501051, -111.045473, 43.984307]"
ID,"Twin Falls County, ID","[-115.039238, 41.9941515, -114.000317, 42.918428]"
ID,"Valley County, ID","[-116.213871, 44.147668, -114.694126, 45.219651]"
ID,"Washington County, ID","[-117.2430324, 44.15103, -116.299686, 44.840544]"
IL,"Adams County, IL","[-91.5130518, 39.756645, -90.910461, 40.2003599]"
IL,"Alexander County, IL","[-89.5207101, 36.9701313, -89.1330128, 37.335838]"
IL,"Bond County, IL","[-89.6391494, 38.740692, -89.250192, 39.0284434]"
IL,"Boone County, IL","[-88.94059, 42.1523286, -88.7055866, 42.4950185]"
IL,"Brown County, IL","[-90.916107, 39.838951, -90.512451, 40.1058174]"
IL,"Bureau County, IL","[-89.8621044, 41.1486404, -89.1637087, 41.5852745]"
IL,"Calhoun County, IL","[-90.9372241, 38.8682885, -90.4503448, 39.4004719]"
IL,"Carroll County, IL","[-90.3172957, 41.9303689, -89.6846473, 42.1990471]"
IL,"Cass County, IL","[-90.583611, 39.872936, -89.993805, 40.124397]"
IL,"Champaign County, IL","[-88.4635711, 39.8790978, -87.92876, 40.4006758]"
IL,"Christian County, IL","[-89.5350861, 39.345825, -89.023987, 39.8260374]"
IL,"Clark County, IL","[-88.0139669, 39.157513, -87.531355, 39.4874825]"
IL,"Clay County, IL","[-88.6983087, 38.5991336, -88.2490637, 38.91531]"
IL,"Clinton County, IL","[-89.7071458, 38.4158771, -89.139473, 38.7432391]"
IL,"Coles County, IL","[-88.472073, 39.3736168, -87.9603932, 39.6857893]"
IL,"Cook County, IL","[-88.263641, 41.4697052, -87.110525, 42.1542933]"
IL,Cook County,"[-88.263641, 41.4697052, -87.110525, 42.1542933]"
IL,"Crawford County, IL","[-87.9504784, 38.848857, -87.51213, 39.179306]"
IL,"Cumberland County, IL","[-88.471207, 39.1711005, -88.007766, 39.3789594]"
IL,"DeKalb County, IL","[-88.9420709, 41.6283169, -88.5883665, 42.1535688]"
IL,"De Witt County, IL","[-88.9625626, 40.1537657, -88.961758, 40.1542652]"
IL,"Douglas County, IL","[-88.473182, 39.651588, -87.935905, 39.8802212]"
IL,"DuPage County, IL","[-88.262896, 41.6852101, -87.9142475, 41.9938768]"
IL,"Edgar County, IL","[-87.968231, 39.4766844, -87.53164, 39.883]"
IL,"Edwards County, IL","[-88.150299, 38.255444, -87.9371055, 38.5702272]"
IL,"Effingham County, IL","[-88.807014, 38.910877, -88.3606244, 39.216263]"
IL,"Fayette County, IL","[-89.2573746, 38.736092, -88.6933995, 39.217773]"
IL,"Ford County, IL","[-88.4600607, 40.3984534, -87.931712, 40.9977587]"
IL,"Franklin County, IL","[-89.1783659, 37.862227, -88.7047387, 38.127242]"
IL,"Fulton County, IL","[-90.451727, 40.182533, -89.8718046, 40.7148559]"
IL,"Gallatin County, IL","[-88.3753018, 37.5730829, -88.0258748, 37.916208]"
IL,"Greene County, IL","[-90.6222157, 39.1185802, -90.150162, 39.5215329]"
IL,"Grundy County, IL","[-88.5959709, 41.1083024, -88.240837, 41.462762]"
IL,"Hamilton County, IL","[-88.7066603, 37.906554, -88.3703652, 38.2567415]"
IL,"Hancock County, IL","[-91.507269, 40.192471, -90.9040743, 40.6391146]"
IL,"Hardin County, IL","[-88.4156728, 37.401663, -88.062568, 37.5998163]"
IL,"Henderson County, IL","[-91.1853141, 40.6348884, -90.7851853, 41.0717133]"
IL,"Henry County, IL","[-90.437697, 41.1493962, -89.856735, 41.58625]"
IL,"Iroquois County, IL","[-88.1319321, 40.485923, -87.5256512, 41.0105313]"
IL,"Jackson County, IL","[-89.680826, 37.5618627, -89.1506157, 37.9552973]"
IL,"Jasper County, IL","[-88.362312, 38.846657, -87.944748, 39.1748222]"
IL,"Jefferson County, IL","[-89.1497613, 38.1247471, -88.6990536, 38.476921]"
IL,"Jersey County, IL","[-90.6036228, 38.923429, -90.14606, 39.262501]"
IL,"Jo Daviess County, IL","[-90.656527, 42.1936353, -89.9197498, 42.5083736]"
IL,"Johnson County, IL","[-89.0447058, 37.294037, -88.7085486, 37.6006323]"
IL,"Kane County, IL","[-88.6025604, 41.719563, -88.238186, 42.154249]"
IL,"Kankakee County, IL","[-88.2514308, 40.9945523, -87.5261827, 41.2980678]"
IL,"Kendall County, IL","[-88.6037093, 41.457137, -88.2521753, 41.7246577]"
IL,"Knox County, IL","[-90.4443789, 40.7123841, -89.9845391, 41.1521422]"
IL,"Lake County, IL","[-88.1995433, 42.1517825, -87.0199244, 42.4957307]"
IL,Lake County,"[-123.0941684, 38.6676515, -122.3398198, 39.5815189]"
IL,"La Salle County, IL","[-89.120622, 41.314599, -89.010139, 41.390354]"
IL,"Lawrence County, IL","[-87.912362, 38.568061, -87.495199, 38.852507]"
IL,"Lee County, IL","[-89.6323512, 41.5848869, -88.9386828, 41.912243]"
IL,"Livingston County, IL","[-88.9314066, 40.6165535, -88.2348458, 41.114227]"
IL,"Logan County, IL","[-89.603676, 39.9169725, -89.1434575, 40.325292]"
IL,"McDonough County, IL","[-90.909843, 40.2763171, -90.4457022, 40.6391146]"
IL,"McHenry County, IL","[-88.7059813, 42.1535541, -88.1966569, 42.4950734]"
IL,"McLean County, IL","[-89.2694101, 40.2810843, -88.459221, 40.7576085]"
IL,"Macon County, IL","[-89.2178769, 39.652678, -88.7450413, 40.05534]"
IL,"Macoupin County, IL","[-90.155457, 38.998035, -89.697876, 39.524227]"
IL,"Madison County, IL","[-90.275812, 38.6550861, -89.5952226, 39.0002202]"
IL,"Marion County, IL","[-89.144447, 38.474136, -88.6951627, 38.8263019]"
IL,"Marshall County, IL","[-89.639191, 40.921474, -89.046753, 41.148701]"
IL,"Mason County, IL","[-90.3555358, 40.0509674, -89.601265, 40.4360266]"
IL,"Massac County, IL","[-88.9291776, 37.0638061, -88.4901524, 37.336987]"
IL,"Menard County, IL","[-89.995247, 39.9015306, -89.5783404, 40.1607474]"
IL,"Mercer County, IL","[-91.114186, 41.0636812, -90.4337673, 41.3343037]"
IL,"Monroe County, IL","[-90.3730499, 38.0879113, -89.8967961, 38.5207755]"
IL,"Montgomery County, IL","[-89.704727, 38.9989419, -89.139464, 39.5246089]"
IL,"Morgan County, IL","[-90.600258, 39.519493, -89.923126, 39.875759]"
IL,"Moultrie County, IL","[-88.812709, 39.447041, -88.470505, 39.7922499]"
IL,"Ogle County, IL","[-89.6879662, 41.88588, -88.9388877, 42.2043123]"
IL,"Peoria County, IL","[-89.9890166, 40.5136443, -89.4474126, 40.9750047]"
IL,"Perry County, IL","[-89.5950508, 37.9500671, -89.1151558, 38.219234]"
IL,"Piatt County, IL","[-88.7459707, 39.7917932, -88.4604404, 40.2817694]"
IL,"Pike County, IL","[-91.370009, 39.3951852, -90.567345, 39.844166]"
IL,"Pope County, IL","[-88.7106257, 37.0638061, -88.4121324, 37.5998163]"
IL,"Pulaski County, IL","[-89.2738258, 37.0670969, -88.927162, 37.335347]"
IL,"Putnam County, IL","[-89.466499, 41.1040055, -89.1622438, 41.321907]"
IL,"Randolph County, IL","[-90.2069278, 37.8030275, -89.5926476, 38.223145]"
IL,"Richland County, IL","[-88.2975368, 38.56876, -87.90811, 38.850594]"
IL,"Rock Island County, IL","[-91.071895, 41.3269822, -90.1598864, 41.7829646]"
IL,"St. Clair County, IL","[-90.2641421, 38.2194363, -89.7031975, 38.6602654]"
IL,"Saline County, IL","[-88.7085486, 37.5987538, -88.3735064, 37.9078068]"
IL,"Sangamon County, IL","[-89.9945387, 39.52264, -89.2174439, 39.9767344]"
IL,"Schuyler County, IL","[-90.9134265, 39.9785774, -90.201256, 40.283176]"
IL,"Scott County, IL","[-90.6474, 39.519997, -90.301933, 39.788715]"
IL,"Shelby County, IL","[-89.139919, 39.214915, -88.470351, 39.654292]"
IL,"Stark County, IL","[-89.9855168, 40.9736714, -89.6385147, 41.234497]"
IL,"Stephenson County, IL","[-89.9267131, 42.1966404, -89.3962026, 42.5057696]"
IL,"Tazewell County, IL","[-89.9237146, 40.3186446, -89.2637473, 40.7482658]"
IL,"Union County, IL","[-89.5218954, 37.329747, -89.0413571, 37.600746]"
IL,"Vermilion County, IL","[-87.942103, 39.868459, -87.526366, 40.491237]"
IL,"Wabash County, IL","[-87.9921355, 38.2335283, -87.6450682, 38.5702272]"
IL,"Warren County, IL","[-90.7896456, 40.6276452, -90.4394408, 41.0688295]"
IL,"Washington County, IL","[-89.7043443, 38.2130974, -89.1438159, 38.5188271]"
IL,"Wayne County, IL","[-88.7024963, 38.2553228, -88.147003, 38.607216]"
IL,"White County, IL","[-88.3745385, 37.8880808, -87.9104723, 38.260143]"
IL,"Whiteside County, IL","[-90.2481866, 41.5841771, -89.6288907, 41.932243]"
IL,"Will County, IL","[-88.2612759, 41.2015852, -87.5256535, 41.7290312]"
IL,"Williamson County, IL","[-89.154716, 37.59628, -88.7067891, 37.864409]"
IL,"Winnebago County, IL","[-89.4020602, 42.1501346, -88.939186, 42.5005322]"
IL,"Woodford County, IL","[-89.559563, 40.594531, -88.9292976, 40.9277455]"
IN,"Adams County, IN","[-85.0738683, 40.568253, -84.80217, 40.9225978]"
IN,"Allen County, IN","[-85.3381614, 40.9170272, -84.8029428, 41.2711639]"
IN,"Bartholomew County, IN","[-86.085365, 39.036064, -85.684515, 39.350258]"
IN,"Benton County, IN","[-87.526589, 40.476131, -87.093445, 40.7369288]"
IN,"Blackford County, IN","[-85.4455113, 40.378864, -85.2010273, 40.567225]"
IN,"Boone County, IN","[-86.696053, 39.9224067, -86.2407488, 40.180819]"
IN,"Brown County, IN","[-86.381395, 39.048357, -86.080272, 39.345261]"
IN,"Carroll County, IN","[-86.7742974, 40.4309, -86.373924, 40.7377797]"
IN,"Cass County, IN","[-86.581532, 40.5612553, -86.1649544, 40.910925]"
IN,"Clark County, IN","[-85.994949, 38.266981, -85.4148906, 38.6067318]"
IN,"Clay County, IN","[-87.240777, 39.168086, -86.939981, 39.6071508]"
IN,"Clinton County, IN","[-86.695686, 40.1769538, -86.241982, 40.4320658]"
IN,"Crawford County, IN","[-86.681424, 38.1050399, -86.245521, 38.422875]"
IN,"Daviess County, IN","[-87.279415, 38.4903698, -86.9042252, 38.9041779]"
IN,"Dearborn County, IN","[-85.1328066, 38.935463, -84.8193294, 39.308182]"
IN,"Decatur County, IN","[-85.687996, 39.130669, -85.296137, 39.4533821]"
IN,"DeKalb County, IN","[-85.194084, 41.2642838, -84.8035988, 41.530252]"
IN,"Delaware County, IN","[-85.5788002, 40.076392, -85.2142606, 40.3794287]"
IN,"Dubois County, IN","[-87.0731562, 38.2029155, -86.679886, 38.526519]"
IN,"Elkhart County, IN","[-86.062575, 41.435393, -85.6535264, 41.7605156]"
IN,"Fayette County, IN","[-85.3017132, 39.5253854, -85.0344787, 39.7886442]"
IN,"Floyd County, IN","[-86.033204, 38.180416, -85.76083, 38.418438]"
IN,"Fountain County, IN","[-87.4401635, 39.9522878, -87.090138, 40.3664846]"
IN,"Franklin County, IN","[-85.2985441, 39.268291, -84.815369, 39.52697]"
IN,"Fulton County, IN","[-86.467705, 40.908165, -85.9454732, 41.173603]"
IN,"Gibson County, IN","[-87.9883193, 38.1653886, -87.315701, 38.532727]"
IN,"Grant County, IN","[-85.864487, 40.378297, -85.444847, 40.6536748]"
IN,"Greene County, IN","[-87.24109, 38.9022574, -86.682093, 39.171773]"
IN,"Hamilton County, IN","[-86.242743, 39.9260355, -85.8620941, 40.218937]"
IN,"Hancock County, IN","[-85.9540065, 39.6971807, -85.575928, 39.9458211]"
IN,"Harrison County, IN","[-86.3310919, 37.9586889, -85.899613, 38.422685]"
IN,"Hendricks County, IN","[-86.6952294, 39.600769, -86.325373, 39.9241814]"
IN,"Henry County, IN","[-85.596909, 39.7863652, -85.20134, 40.0772022]"
IN,"Howard County, IN","[-86.3756469, 40.3736269, -85.8621764, 40.5655785]"
IN,"Huntington County, IN","[-85.643729, 40.6530683, -85.3341657, 41.0061177]"
IN,"Jackson County, IN","[-86.318146, 38.725026, -85.795349, 39.070637]"
IN,"Jasper County, IN","[-87.276554, 40.7364954, -86.93, 41.286343]"
IN,"Jay County, IN","[-85.220543, 40.30732, -84.8024611, 40.572207]"
IN,"Jefferson County, IN","[-85.684669, 38.5861383, -85.2014726, 38.9140063]"
IN,"Jennings County, IN","[-85.798927, 38.8068095, -85.440054, 39.195617]"
IN,"Johnson County, IN","[-86.2514118, 39.3420157, -85.9508694, 39.638502]"
IN,"Knox County, IN","[-87.7566433, 38.413862, -87.090694, 38.907874]"
IN,"Kosciusko County, IN","[-86.07769, 41.038752, -85.651794, 41.4369182]"
IN,"LaGrange County, IN","[-85.6598154, 41.523347, -85.1940326, 41.759982]"
IN,"Lake County, IN","[-87.5267053, 41.161945, -87.2188431, 41.760889]"
IN,Lake County,"[-123.0941684, 38.6676515, -122.3398198, 39.5815189]"
IN,"LaPorte County, IN","[-86.93416, 41.236798, -86.4861731, 41.761039]"
IN,LaPorte County,"[-86.93416, 41.236798, -86.4861731, 41.761039]"
IN,"Lawrence County, IN","[-86.684058, 38.686561, -86.275281, 38.992404]"
IN,"Madison County, IN","[-85.863022, 39.943638, -85.5753943, 40.3796819]"
IN,"Marion County, IN","[-86.3281207, 39.6321626, -85.9380401, 39.9275253]"
IN,"Marshall County, IN","[-86.467056, 41.17112, -86.053894, 41.4793821]"
IN,"Martin County, IN","[-86.9243375, 38.4945886, -86.682343, 38.904697]"
IN,"Miami County, IN","[-86.170746, 40.5626967, -85.8635206, 40.9992653]"
IN,"Monroe County, IN","[-86.685758, 38.990699, -86.317474, 39.355702]"
IN,"Montgomery County, IN","[-87.0923446, 39.864832, -86.695127, 40.2149794]"
IN,"Morgan County, IN","[-86.687589, 39.338291, -86.2489706, 39.633645]"
IN,"Newton County, IN","[-87.5266325, 40.7365127, -87.267241, 41.218595]"
IN,"Noble County, IN","[-85.654747, 41.2637679, -85.1920902, 41.526623]"
IN,"Ohio County, IN","[-85.1402447, 38.9008805, -84.8298595, 39.0311822]"
IN,"Orange County, IN","[-86.683102, 38.394069, -86.3075963, 38.688655]"
IN,"Owen County, IN","[-87.054921, 39.165746, -86.630719, 39.473345]"
IN,"Parke County, IN","[-87.4346817, 39.604787, -87.009477, 39.9529322]"
IN,"Perry County, IN","[-86.81324, 37.841425, -86.4305165, 38.264446]"
IN,"Pike County, IN","[-87.463008, 38.2311516, -87.0723152, 38.552238]"
IN,"Porter County, IN","[-87.222932, 41.2196618, -86.929321, 41.761368]"
IN,Porter County,"[-87.222932, 41.2196618, -86.929321, 41.761368]"
IN,"Posey County, IN","[-88.0972043, 37.7716793, -87.688371, 38.2303026]"
IN,"Pulaski County, IN","[-86.930954, 40.909332, -86.46653, 41.172783]"
IN,"Putnam County, IN","[-87.0146217, 39.4700617, -86.64164, 39.86742]"
IN,"Randolph County, IN","[-85.218208, 40.0042244, -84.8035819, 40.3102536]"
IN,"Ripley County, IN","[-85.4448641, 38.9130426, -85.065224, 39.308182]"
IN,"Rush County, IN","[-85.6331528, 39.4523201, -85.2975961, 39.7876391]"
IN,"St. Joseph County, IN","[-86.5266379, 41.4328784, -86.0592787, 41.7606756]"
IN,"Scott County, IN","[-85.888399, 38.561269, -85.5701239, 38.8319524]"
IN,"Shelby County, IN","[-85.9530341, 39.347373, -85.6289605, 39.6990042]"
IN,"Spencer County, IN","[-87.2690026, 37.782512, -86.764974, 38.205147]"
IN,"Starke County, IN","[-86.93087, 41.17112, -86.466347, 41.4329854]"
IN,"Steuben County, IN","[-85.1966189, 41.526437, -84.804687, 41.760216]"
IN,"Sullivan County, IN","[-87.658745, 38.9015485, -87.240371, 39.260612]"
IN,"Switzerland County, IN","[-85.2035067, 38.6875082, -84.784609, 38.9294152]"
IN,"Tippecanoe County, IN","[-87.0953948, 40.214355, -86.694351, 40.5630784]"
IN,"Tipton County, IN","[-86.242917, 40.215834, -85.8621764, 40.4068594]"
IN,"Union County, IN","[-85.0363354, 39.5228728, -84.814323, 39.729126]"
IN,"Vanderburgh County, IN","[-87.700467, 37.8260449, -87.449411, 38.168419]"
IN,"Vermillion County, IN","[-87.5332468, 39.607306, -87.3533356, 40.1484023]"
IN,"Vigo County, IN","[-87.621176, 39.258993, -87.1991503, 39.608246]"
IN,"Wabash County, IN","[-85.9465152, 40.6510792, -85.6384461, 41.0466668]"
IN,"Warren County, IN","[-87.531449, 40.1273159, -87.091927, 40.478649]"
IN,"Warrick County, IN","[-87.473217, 37.8780319, -87.017423, 38.246077]"
IN,"Washington County, IN","[-86.310076, 38.417898, -85.847443, 38.783588]"
IN,"Wayne County, IN","[-85.2215098, 39.7147669, -84.8107137, 40.0062634]"
IN,"Wells County, IN","[-85.4490324, 40.566317, -85.0684935, 40.9177567]"
IN,"White County, IN","[-87.099533, 40.5605875, -86.58017, 40.9125]"
IN,"Whitley County, IN","[-85.687637, 41.001768, -85.3077702, 41.295029]"
IA,"Adair County, IA","[-94.7006937, 41.1571234, -94.2413927, 41.5041521]"
IA,"Adams County, IA","[-94.928467, 40.899315, -94.4706091, 41.1585365]"
IA,"Allamakee County, IA","[-91.6109098, 43.0797806, -91.05791, 43.500993]"
IA,"Appanoose County, IA","[-93.098839, 40.5839992, -92.638916, 40.8988761]"
IA,"Audubon County, IA","[-95.0933334, 41.5041521, -94.7006382, 41.8634051]"
IA,"Benton County, IA","[-92.2993107, 41.861619, -91.8311, 42.2990519]"
IA,"Black Hawk County, IA","[-92.5546444, 42.2970141, -92.0642077, 42.6423223]"
IA,"Boone County, IA","[-94.1649018, 41.8630841, -93.6980434, 42.2099532]"
IA,"Bremer County, IA","[-92.5544957, 42.642097, -92.081513, 42.9071149]"
IA,"Buchanan County, IA","[-92.0821811, 42.2963299, -91.5970025, 42.6439719]"
IA,"Buena Vista County, IA","[-95.38887, 42.5603101, -94.9138623, 42.9099656]"
IA,"Butler County, IA","[-93.0269976, 42.5557861, -92.554223, 42.9075433]"
IA,"Calhoun County, IA","[-94.9146437, 42.2091535, -94.3972264, 42.5603101]"
IA,"Carroll County, IA","[-95.092869, 41.8624033, -94.6287031, 42.21042]"
IA,"Cass County, IA","[-95.155833, 41.1580385, -94.7001359, 41.5052281]"
IA,"Cedar County, IA","[-91.366501, 41.5969149, -90.8983111, 41.947408]"
IA,"Cerro Gordo County, IA","[-93.4986195, 42.9075263, -93.0234051, 43.2556179]"
IA,"Cherokee County, IA","[-95.8607923, 42.5606243, -95.38752, 42.9098022]"
IA,"Chickasaw County, IA","[-92.5544054, 42.9067507, -92.080765, 43.2129515]"
IA,"Clarke County, IA","[-94.015121, 40.896984, -93.556533, 41.1621848]"
IA,"Clay County, IA","[-95.388161, 42.909386, -94.9137191, 43.2553788]"
IA,"Clayton County, IA","[-91.6077806, 42.6439719, -90.8959837, 43.081707]"
IA,"Clinton County, IA","[-90.8987564, 41.7276448, -90.140061, 42.033962]"
IA,"Crawford County, IA","[-95.6727459, 41.8631674, -95.0908704, 42.2112894]"
IA,"Dallas County, IA","[-94.2807206, 41.5030995, -93.7905213, 41.8634053]"
IA,"Davis County, IA","[-92.639824, 40.590825, -92.1790266, 40.8998901]"
IA,"Decatur County, IA","[-94.016304, 40.5739189, -93.556504, 40.8993281]"
IA,"Delaware County, IA","[-91.6090614, 42.29501, -91.129227, 42.6459078]"
IA,"Des Moines County, IA","[-91.4091897, 40.69558, -90.942253, 41.074074]"
IA,"Dickinson County, IA","[-95.3880938, 43.2550432, -94.9137191, 43.5011589]"
IA,"Dubuque County, IA","[-91.1345101, 42.293335, -90.4733177, 42.6746225]"
IA,"Emmet County, IA","[-94.914836, 43.254998, -94.4423277, 43.5010685]"
IA,"Fayette County, IA","[-92.08197, 42.6418253, -91.6055371, 43.082619]"
IA,"Floyd County, IA","[-93.0251681, 42.9070698, -92.553795, 43.2128268]"
IA,"Franklin County, IA","[-93.4996855, 42.5566903, -93.0251681, 42.908484]"
IA,"Fremont County, IA","[-95.888907, 40.580501, -95.3706123, 40.9016385]"
IA,"Greene County, IA","[-94.6296242, 41.8627551, -94.1642655, 42.2099532]"
IA,"Grundy County, IA","[-93.0270186, 42.209281, -92.5335112, 42.5568174]"
IA,"Guthrie County, IA","[-94.7448815, 41.5035776, -94.2413579, 41.8632439]"
IA,"Hamilton County, IA","[-93.9715694, 42.2091814, -93.4626406, 42.5581262]"
IA,"Hancock County, IA","[-93.9714697, 42.9077479, -93.4975318, 43.2556118]"
IA,"Hardin County, IA","[-93.4995674, 42.2087354, -93.001667, 42.5576621]"
IA,"Harrison County, IA","[-96.1382075, 41.504789, -95.4979277, 41.8655846]"
IA,"Henry County, IA","[-91.719147, 40.812575, -91.3702766, 41.163048]"
IA,"Howard County, IA","[-92.554543, 43.2128138, -92.0799156, 43.5008129]"
IA,"Humboldt County, IA","[-94.4431305, 42.6446737, -93.9712388, 42.9081865]"
IA,"Ida County, IA","[-95.7418346, 42.2107296, -95.3223424, 42.5618868]"
IA,"Iowa County, IA","[-92.2998658, 41.50959, -91.8270535, 41.8629476]"
IA,"Jackson County, IA","[-90.899139, 42.032505, -90.1546364, 42.381783]"
IA,"Jasper County, IA","[-93.348675, 41.5079024, -92.7566237, 41.8631089]"
IA,"Jefferson County, IA","[-92.1802712, 40.8998901, -91.71714, 41.1636163]"
IA,"Johnson County, IA","[-91.834181, 41.422211, -91.3658861, 41.8620363]"
IA,"Jones County, IA","[-91.3658668, 41.9462203, -90.898354, 42.296461]"
IA,"Keokuk County, IA","[-92.412506, 41.161476, -91.9442371, 41.5107497]"
IA,"Kossuth County, IA","[-94.444824, 42.9077479, -93.9701872, 43.5003989]"
IA,"Lee County, IA","[-91.718781, 40.3756007, -91.11219, 40.8139393]"
IA,"Linn County, IA","[-91.8352636, 41.8594885, -91.3632858, 42.2990519]"
IA,"Louisa County, IA","[-91.487045, 41.0717133, -90.946259, 41.423523]"
IA,"Lucas County, IA","[-93.5575611, 40.8975546, -93.0975867, 41.1612898]"
IA,"Lyon County, IA","[-96.6031978, 43.2573816, -95.8604685, 43.5004261]"
IA,"Madison County, IA","[-94.2416815, 41.1563437, -93.7893533, 41.5119493]"
IA,"Mahaska County, IA","[-92.871864, 41.1610449, -92.4102517, 41.5094858]"
IA,"Marion County, IA","[-93.3287287, 41.1606162, -92.8697337, 41.5085352]"
IA,"Marshall County, IA","[-93.2318642, 41.862269, -92.7656974, 42.2101391]"
IA,"Mills County, IA","[-95.883346, 40.9001718, -95.3843589, 41.1600335]"
IA,"Mitchell County, IA","[-93.0243662, 43.2128138, -92.553152, 43.500346]"
IA,"Monona County, IA","[-96.35987, 41.8631674, -95.6708097, 42.2148556]"
IA,"Monroe County, IA","[-93.0992109, 40.897873, -92.6390339, 41.161416]"
IA,"Montgomery County, IA","[-95.3847728, 40.90069, -94.9275525, 41.1600335]"
IA,"Muscatine County, IA","[-91.370148, 41.3329111, -90.7838531, 41.5984124]"
IA,"O'Brien County, IA","[-95.862595, 42.9090936, -95.387672, 43.258422]"
IA,"Osceola County, IA","[-95.8619235, 43.2552275, -95.3875338, 43.5002167]"
IA,"Page County, IA","[-95.3853463, 40.575068, -94.9131806, 40.9014964]"
IA,"Palo Alto County, IA","[-94.915352, 42.9080761, -94.4427699, 43.2552973]"
IA,"Plymouth County, IA","[-96.6397162, 42.5606243, -95.858548, 42.910336]"
IA,"Pocahontas County, IA","[-94.9155769, 42.5587685, -94.4429986, 42.9097058]"
IA,"Polk County, IA","[-93.8157774, 41.4818653, -93.3284675, 41.8634053]"
IA,"Pottawattamie County, IA","[-96.019817, 41.158726, -95.1547007, 41.5066042]"
IA,"Poweshiek County, IA","[-92.7668012, 41.508358, -92.297684, 41.8629476]"
IA,"Ringgold County, IA","[-94.4716826, 40.5708058, -94.0148914, 40.8995064]"
IA,"Sac County, IA","[-95.3879864, 42.209727, -94.8568833, 42.5617873]"
IA,"Scott County, IA","[-90.8998696, 41.4493187, -90.31277, 41.7765832]"
IA,"Shelby County, IA","[-95.558098, 41.5048311, -95.0407368, 41.8642296]"
IA,"Sioux County, IA","[-96.5714939, 42.9089907, -95.8593473, 43.2600337]"
IA,"Story County, IA","[-93.6987322, 41.8627934, -93.2315516, 42.2093575]"
IA,"Tama County, IA","[-92.7680812, 41.8621968, -92.2976432, 42.2975304]"
IA,"Taylor County, IA","[-94.928682, 40.570707, -94.4707933, 40.90069]"
IA,"Union County, IA","[-94.472252, 40.896954, -94.014189, 41.157528]"
IA,"Van Buren County, IA","[-92.179672, 40.5998261, -91.7163563, 40.9014472]"
IA,"Wapello County, IA","[-92.640333, 40.8988761, -92.1790266, 41.1626956]"
IA,"Warren County, IA","[-93.7906361, 41.1603964, -93.3278288, 41.5120526]"
IA,"Washington County, IA","[-91.947037, 41.161705, -91.4838406, 41.5116]"
IA,"Wayne County, IA","[-93.557289, 40.579916, -93.097435, 40.898567]"
IA,"Webster County, IA","[-94.4433429, 42.2091535, -93.9315712, 42.6451527]"
IA,"Winnebago County, IA","[-93.9709907, 43.2550408, -93.4973405, 43.4999015]"
IA,"Winneshiek County, IA","[-92.08149, 43.0817019, -91.603953, 43.500804]"
IA,"Woodbury County, IA","[-96.4989872, 42.2112682, -95.6691491, 42.5622316]"
IA,"Worth County, IA","[-93.4976853, 43.2551237, -93.0241704, 43.4997396]"
IA,"Wright County, IA","[-93.9716093, 42.5575388, -93.4986195, 42.9087507]"
KS,"Allen County, KS","[-95.525501, 37.732356, -95.077876, 38.038594]"
KS,"Anderson County, KS","[-95.51897, 38.037692, -95.062332, 38.390326]"
KS,"Atchison County, KS","[-95.570432, 39.4188277, -94.968973, 39.6530446]"
KS,"Barber County, KS","[-99.013557, 36.997961, -98.347149, 37.471626]"
KS,"Barton County, KS","[-99.03343, 38.2607891, -98.479507, 38.696916]"
KS,"Bourbon County, KS","[-95.088111, 37.673105, -94.614011, 38.037706]"
